id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease,change_flag,max_seats_change_flag
JMAN_10069485,2023-03-10,1,0,0,0,0,0,0,0,1,15,1,0,3,0,Manufacturing & Resources,50 - 99,0,0,0,,,,,0,10,0,0,2.0,0,53,3528.0,3528.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,6.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,0,1
JMAN_10410810,2023-03-10,0,1,1,0,0,0,0,0,1,9,1,0,1,0,Corporate Services,250 - 499,0,0,0,,0.0,,7.0,1,10,0,0,2.0,53,20,45360.0,45360.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,30.0,0.0,8.0,21.0,0,1,0.266666667,0.380952381,0,1,1,1
JMAN_10429945,2023-01-13,0,1,1,0,0,0,1,0,0,5,1,0,1,0,Financial Services,250 - 499,0,100,15,,,,,0,5,0,0,10.0,7,792,172500.0,346500.0,174000.0,0.0,89615.225,0.0,-42000.0,1,1,0,100,100,0,220.0,0.176190476,209.0,210.0,0,1,0.954545455,0.995238095,0,1,0,1
JMAN_10429945,2023-02-24,0,1,1,0,0,0,1,0,0,6,1,0,1,0,Financial Services,250 - 499,1,100,16,,,,,0,8,0,0,11.0,7,801,182250.0,346500.0,164250.0,0.0,81774.31591,0.0,-42000.0,1,1,0,100,100,0,230.0,0.187772926,220.0,220.0,0,1,0.995652174,1.0,0,1,0,1
JMAN_10429945,2023-03-10,0,1,1,0,0,0,1,0,0,6,1,0,1,0,Financial Services,250 - 499,1,100,17,,,,,0,6,0,0,12.0,5,725,192000.0,346500.0,154500.0,0.0,73850.40287,0.0,-42000.0,1,1,0,100,100,0,240.0,0.175,220.0,220.0,0,1,1.0,1.0,0,0,0,1
JMAN_10473228,2023-01-27,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,6,0,0,4.0,3,139,54796.44,66676.44,11880.0,0.0,11449.08458,0.0,-2227.56,1,1,0,100,100,0,47.0,0.0,45.0,46.0,0,1,0.978723404,0.97826087,1,0,0,1
JMAN_10473228,2023-02-03,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,18,,-100.0,,5.0,0,10,0,0,5.0,0,74,54796.44,66676.44,11880.0,0.0,11449.08458,0.0,-2227.56,1,1,0,100,100,0,48.0,0.0,45.0,46.0,0,0,0.979166667,0.97826087,1,0,0,1
JMAN_10473228,2023-03-31,1,0,0,0,0,0,0,0,1,9,1,0,1,0,Healthcare,100 - 249,0,100,19,,-100.0,,5.0,0,11,0,0,6.0,4,78,58360.44,66676.44,8316.0,0.0,8022.450782,0.0,-2227.56,1,1,0,100,100,0,50.0,0.020833333,47.0,48.0,0,1,0.96,0.979166667,0,1,0,1
JMAN_10583513,2023-02-10,0,1,1,0,0,0,1,0,0,8,1,0,2,0,Corporate Services,250 - 499,0,83,42,-33.3,-33.3,3.0,3.0,0,1,0,0,2.0,28,4372,203700.48,201960.0,-1740.48,0.0,41580.0,-48000.0,-4679.52,1,1,0,100,100,0,135.0,0.307692308,130.0,130.0,0,1,0.962962963,1.0,0,1,0,1
JMAN_10583513,2023-03-24,0,1,1,0,0,0,1,0,0,8,1,0,2,0,Corporate Services,250 - 499,0,82,42,-100.0,-33.3,0.0,3.0,0,2,0,0,3.0,9,2442,221520.48,207900.0,-13620.48,0.0,29700.0,-48000.0,-4679.52,1,1,0,100,100,0,150.0,0.316176471,135.0,135.0,0,1,0.906666667,1.0,0,1,0,1
JMAN_10670367,2023-01-13,0,1,0,0,0,0,0,0,1,7,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,100,24,,0.0,,8.0,0,0,0,0,15.0,75,165,21600.0,39600.0,18000.0,0.0,18000.0,0.0,0.0,1,1,1,100,100,0,12.0,0.416666667,11.0,11.0,0,1,1.0,1.0,0,0,0,1
JMAN_10670367,2023-02-17,0,1,0,0,0,0,0,0,1,8,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,100,27,,0.0,,8.0,0,0,0,0,16.0,332,161,32400.0,46124.76,13724.76,0.0,14400.0,0.0,0.0,1,1,1,100,100,0,18.0,0.333333333,12.0,12.0,0,1,0.666666667,1.0,0,1,0,1
JMAN_10670367,2023-03-03,0,1,0,0,0,0,0,0,1,8,1,0,1,0,"Retail, Wholesale & Distribution",Oct-49,0,100,11,,0.0,,8.0,0,0,0,0,17.0,375,162,34200.0,46124.76,11924.76,0.0,12600.0,0.0,0.0,1,1,1,100,100,0,19.0,0.294117647,12.0,12.0,0,1,0.894736842,1.0,0,1,0,1
JMAN_10929230,2023-03-24,0,1,0,0,0,1,0,0,0,7,0,0,1,0,Technology,01-Sep,0,0,0,,,,,0,10,0,0,1.0,0,8,7128.0,8280.0,1152.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,6.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,0,1
JMAN_11055836,2023-03-03,1,0,0,0,0,1,0,0,0,7,1,0,1,0,Technology,100 - 249,0,100,33,,,,,0,18,1,1,1.0,154,96,11477.04,13762.08,1765.68,519.36,1765.698462,0.0,0.0,1,1,0,100,100,0,13.0,0.083333333,12.0,12.0,0,1,0.923076923,1.0,0,1,0,1
JMAN_11055836,2023-03-17,1,0,0,0,0,1,0,0,0,7,1,0,1,0,Technology,100 - 249,0,100,33,,,,,0,14,0,0,1.0,126,65,13242.72,13564.56,0.0,321.84,0.0,0.0,0.0,1,1,0,100,100,0,15.0,0.076923077,12.0,12.0,0,1,0.866666667,1.0,0,1,0,1
JMAN_11678347,2023-03-17,0,1,0,0,0,0,0,1,0,5,1,0,1,0,Technology,Oct-49,0,0,0,,,,,0,8,1,1,0.0,0,9,2844.0,2844.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0,0,1
JMAN_127332,2023-02-10,0,1,1,0,0,1,0,0,0,16,1,0,1,0,Technology,500 - 999,0,100,100,,-100.0,,0.0,0,10,1,1,0.0,9,51,43885.8,45827.52,0.0,15696.84,0.0,0.0,0.0,1,1,1,100,100,0,33.0,0.047619048,21.0,23.0,0,1,0.636363636,0.913043478,0,1,0,1
JMAN_13302332,2023-01-27,0,1,1,0,0,1,0,0,0,3,1,0,1,0,Media & Entertainment,250 - 499,0,100,33,,,,,1,0,0,0,,0,61,14009.4,22450.92,7677.96,763.56,775.4302041,0.0,0.0,1,1,0,100,100,0,11.0,0.0,10.0,10.0,0,0,1.0,1.0,0,0,0,1
JMAN_14071267,2023-02-24,1,0,0,0,0,0,0,1,0,17,1,0,1,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,0,0,0,,0,79,4266.0,4564.8,298.8,0.0,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.0,4.0,4.0,0,1,0.8,1.0,0,1,0,1
JMAN_15081132,2023-03-03,0,1,0,0,1,0,0,0,1,1,0,0,1,0,Manufacturing & Resources,1000 - 4999,0,100,25,,,,,1,0,0,0,,0,5,5688.0,5688.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,6.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0,0,1
JMAN_15337243,2023-01-13,1,0,0,0,0,0,0,0,1,1,0,0,1,0,Corporate Services,100 - 249,0,0,0,,,,,0,6,1,1,1.0,0,23,2832.0,4956.0,2124.0,0.0,2124.0,0.0,0.0,1,1,0,100,100,0,4.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0,0,1
JMAN_15755482,2023-02-24,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"Retail, Wholesale & Distribution",100 - 249,0,0,0,,,,,0,9,1,1,1.0,0,28,4500.0,8940.0,4440.0,0.0,3288.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0,0,1
JMAN_15755482,2023-03-24,1,0,0,0,0,0,0,0,1,1,0,0,1,0,"Retail, Wholesale & Distribution",100 - 249,0,0,0,,,,,0,8,1,1,0.0,0,22,6000.0,8940.0,2940.0,0.0,1788.0,0.0,0.0,1,1,0,100,100,0,4.0,0.333333333,3.0,3.0,0,1,0.75,1.0,0,1,0,1
JMAN_17645578,2023-03-31,0,1,0,0,0,0,1,0,0,17,0,0,1,0,Technology,Oct-49,0,0,0,,,,,0,0,0,0,,0,0,1140.0,1656.0,516.0,0.0,228.0,0.0,0.0,1,0,0,100,100,0,5.0,0.0,,4.0,0,0,0.0,0.0,0,0,0,1
JMAN_1862669,2023-01-27,1,0,0,0,0,1,0,0,0,17,0,0,2,0,Corporate Services,Oct-49,0,0,0,,,,,0,0,0,0,19.0,0,71,2396.4,2501.64,0.0,105.24,0.0,0.0,0.0,1,0,0,100,100,0,11.0,0.0,10.0,10.0,0,0,0.909090909,1.0,0,1,0,1
JMAN_2375471,2023-02-24,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,9,0,0,7.0,0,10,11232.0,11232.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,12.0,0.0,11.0,11.0,0,1,0.916666667,1.0,0,1,0,1
JMAN_2411898,2023-03-03,0,1,0,0,0,0,1,0,0,17,0,0,3,0,Corporate Services,Oct-49,0,0,0,,,,,0,4,0,0,3.0,0,30,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,5.0,0.25,4.0,4.0,0,0,0.8,1.0,0,1,0,1
JMAN_2439784,2023-03-10,0,1,0,0,0,0,0,0,1,17,0,0,2,0,Technology,01-Sep,0,0,0,,,,,0,8,0,0,6.0,0,0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,2.0,0.0,1.0,1.0,0,0,0.5,1.0,0,1,0,1
JMAN_2445669,2023-02-03,1,0,0,0,0,1,0,0,0,17,0,0,4,0,Non-Profits & Associations,Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,37,4870.32,5957.64,975.96,111.36,975.8909412,0.0,0.0,1,0,0,100,100,0,15.0,0.066666667,14.0,14.0,0,1,1.0,1.0,0,0,0,1
JMAN_2445669,2023-02-10,1,0,0,0,0,1,0,0,0,17,0,0,4,0,Non-Profits & Associations,Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,45,5195.04,5957.64,651.24,111.36,651.2029412,0.0,0.0,1,0,0,100,100,0,16.0,0.066666667,14.0,14.0,0,1,0.9375,1.0,0,1,0,1
JMAN_2445669,2023-02-17,1,0,0,0,0,1,0,0,0,17,0,0,4,0,Non-Profits & Associations,Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,276,5519.76,5957.64,326.52,111.36,326.5129412,0.0,0.0,1,0,0,100,100,0,17.0,0.125,14.0,14.0,0,1,0.941176471,1.0,0,1,0,1
JMAN_2445988,2023-01-20,1,0,0,0,0,0,0,0,1,16,0,0,6,0,Technology,Oct-49,0,0,0,,,,,0,8,0,0,10.0,0,14,2160.0,2160.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,9.0,0.25,8.0,8.0,0,1,0.888888889,1.0,0,1,0,1
JMAN_2446236,2023-02-24,0,1,0,0,0,0,0,0,1,17,1,0,1,0,Technology,Oct-49,0,100,25,,,,,1,12,0,0,11.0,371,309,30000.0,62088.0,32088.0,0.0,9288.0,13800.0,0.0,1,1,0,100,100,0,20.0,0.157894737,18.0,18.0,0,1,0.95,1.0,0,1,0,1
JMAN_2446236,2023-03-17,0,1,0,0,0,0,0,0,1,17,1,0,1,0,Technology,Oct-49,0,100,25,,,,,1,10,0,0,12.0,382,284,31500.0,64476.0,32976.0,0.0,9576.0,13800.0,0.0,1,1,0,100,100,0,21.0,0.1,18.0,18.0,0,1,0.952380952,1.0,0,1,0,1
JMAN_2447281,2023-02-10,0,1,0,0,0,0,0,0,1,17,0,0,6,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,11,0,0,5.0,0,0,2478.6,2916.0,437.4,0.0,0.0,0.0,-437.4,1,1,0,150,100,0,3.0,0.333333333,2.0,2.0,1,0,1.0,1.0,0,0,0,1
JMAN_2448264,2023-01-20,0,1,0,0,0,0,0,0,1,16,0,0,5,0,"Retail, Wholesale & Distribution",Oct-49,0,100,50,,,,,0,8,0,0,10.0,0,16,9360.0,8424.0,-936.0,0.0,-936.0,-2052.0,0.0,1,1,0,100,100,0,10.0,0.0,9.0,9.0,0,1,0.9,1.0,0,1,0,1
JMAN_2457132,2023-01-13,1,0,0,0,0,0,0,0,1,17,1,0,3,0,Technology,Oct-49,0,0,0,,,,,0,9,0,0,10.0,4,1143,42240.0,42240.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,55.0,0.358490566,53.0,53.0,0,1,0.963636364,1.0,0,1,0,1
JMAN_2459119,2023-01-13,0,1,0,0,0,0,0,0,1,16,1,0,2,0,Education,Oct-49,0,100,29,,,,,0,9,0,0,10.0,0,153,13080.0,18312.0,5232.0,0.0,5232.0,0.0,0.0,1,1,0,100,100,0,10.0,0.6,7.0,7.0,1,0,1.0,1.0,0,0,0,1
JMAN_2459119,2023-01-27,0,1,0,0,0,0,0,0,1,17,1,0,2,0,Education,Oct-49,0,100,25,,,,,0,8,0,0,10.0,0,211,17004.0,23352.0,6348.0,0.0,1308.0,0.0,0.0,1,1,0,100,100,0,12.0,0.272727273,7.0,7.0,0,1,0.916666667,1.0,0,1,0,1
JMAN_2459119,2023-02-03,0,1,0,0,0,0,0,0,1,17,1,0,2,0,Education,Oct-49,0,100,25,,,,,0,10,0,0,11.0,0,219,17004.0,23352.0,6348.0,0.0,1308.0,0.0,0.0,1,1,0,100,100,0,13.0,0.461538462,7.0,10.0,0,1,1.0,0.7,1,0,0,1
